Account_ID,Customer_Name,Age,Gender,Account_Type,Balance,Transaction_Amount,Transaction_Type,Transaction_Date,Branch,IFSC_Code,Loan_Status,Credit_Score,KYC_Status,Account_Status
A12732,John,39,Female,Current,51538,10894,credit,2021-11-11,Mumbai,SBI002,Approved,756,Verified,Active
A12607,Amit,29,Female,Loan,199382,48836,credit,2022-06-04,Unknown,Unknown,Approved,885,Verified,Active
A11653,Amit,18,Female,Credit,107214,-29890,debit,2025-05-22,Unknown,HDFC001,Rejected,528,Pending,Inactive
A13264,John,61,Other,Loan,75078,-6624,debit,2024-12-26,Chennai,SBI002,Approved,533,Verified,Active
A10835,Amit,25,Other,Current,96303,7293,credit,2023-01-02,Delhi,Unknown,Rejected,539,Rejected,Inactive
A10763,John,21,Other,Unknown,98971,18066,credit,2022-10-26,Bangalore,Unknown,Rejected,360,Rejected,Inactive
A11731,John,23,Female,Unknown,79864,9362,credit,2022-12-30,Unknown,Unknown,Rejected,555,Pending,Inactive
A13431,Amit,18,Female,Credit,100421,-8293,debit,2022-05-15,Delhi,Unknown,Rejected,313,Rejected,Inactive
A11033,Neha,49,Other,Current,184430,-739,debit,2023-10-13,Mumbai,AXIS004,Rejected,856,Pending,Inactive
A10277,Unknown,26,Other,Loan,78136,31228,credit,2021-11-08,Unknown,ICICI003,Rejected,476,Pending,Inactive
A11778,Priya,21,Female,Unknown,86886,13484,credit,2024-03-28,Delhi,SBI002,Rejected,394,Rejected,Inactive
A11828,John,29,Female,Savings,64692,-11632,debit,2024-08-01,Pune,Unknown,Approved,828,Verified,Active
A12647,Priya,41,Female,Credit,128960,6970,credit,2021-11-21,Mumbai,HDFC001,Rejected,708,Pending,Active
A13142,Ravi,38,Female,Unknown,146246,43187,credit,2022-11-08,Chennai,HDFC001,Rejected,588,Rejected,Inactive
A12648,Ravi,19,Female,Current,178169,26121,credit,2022-02-28,Unknown,AXIS004,Rejected,582,Rejected,Inactive
A13468,Priya,24,Other,Unknown,195066,19167,credit,2025-06-17,Unknown,HDFC001,Rejected,816,Pending,Inactive
A12362,Neha,64,Female,Unknown,35207,8928,credit,2021-06-18,Pune,SBI002,Rejected,795,Pending,Inactive
A10705,Unknown,22,Other,Unknown,36902,-5174,debit,2025-03-16,Chennai,HDFC001,Rejected,546,Pending,Inactive
A12599,John,60,Other,Current,181192,19974,credit,2023-06-12,Pune,AXIS004,Approved,568,Verified,Active
A12135,John,27,Male,Current,90201,-10216,debit,2023-12-11,Unknown,Unknown,Pending,549,Pending,Closed
A12222,Priya,65,Other,Current,47378,-8308,debit,2025-10-22,Delhi,ICICI003,Approved,840,Verified,Active
A12897,Priya,31,Female,Credit,164031,-11489,debit,2023-03-22,Bangalore,ICICI003,Rejected,305,Pending,Inactive
A11701,Priya,43,Other,Loan,171013,-350,debit,2023-08-05,Mumbai,Unknown,Rejected,679,Pending,Dormant
A10537,Sara,56,Female,Credit,180059,16589,credit,2023-12-16,Bangalore,AXIS004,Pending,568,Verified,Active
A12893,John,29,Other,Credit,131324,14669,credit,2024-03-23,Bangalore,ICICI003,Rejected,893,Rejected,Inactive
A12120,Amit,19,Female,Current,37410,-4458,debit,2021-03-08,Unknown,Unknown,Rejected,797,Pending,Inactive
A12825,Neha,49,Male,Credit,63266,-32493,debit,2022-12-31,Chennai,AXIS004,Approved,617,Verified,Active
A11940,Ravi,73,Male,Credit,836,46524,credit,2024-07-23,Chennai,HDFC001,Approved,812,Verified,Active
A12163,Sara,21,Female,Savings,152758,43213,credit,2021-07-21,Chennai,AXIS004,Rejected,890,Rejected,Inactive
A10976,Ravi,67,Other,Loan,139755,27871,credit,2021-03-23,Delhi,Unknown,Approved,871,Verified,Active
A10755,Amit,40,Other,Unknown,145755,-21724,debit,2023-07-29,Chennai,Unknown,Rejected,748,Rejected,Active
